quote_date,selection_group,underlying_close,contract,expiration,option_type,strike,style,bid,bid_size,ask,ask_size,mid,volume,open_interest,delta,gamma,theta,vega,implied_volatility,quote_missing
2013-01-03,underlying,1459.369995,,,,,,,,,,,,,,,,,,0
2013-01-03,far_target,1459.369995,SPXW130201C01460000,2013-02-01,call,1460.0,E,18.4,,19.5,,18.95,258.0,27.0,0.5042,0.0083,-125.1396,162.2013,0.1177,0
2013-01-03,far_target,1459.369995,SPXW130201P01460000,2013-02-01,put,1460.0,E,21.1,,22.1,,21.6,191.0,450.0,-0.4948,0.0074,-135.9665,162.1962,0.1323,0
2013-01-03,near_grid,1459.369995,SPXW130125C01315000,2013-01-25,call,1315.0,E,142.4,,144.7,,143.55,0.0,0.0,0.9999,0.0,-4.1609,0.1778,0.1186,0
2013-01-03,near_grid,1459.369995,SPXW130125P01315000,2013-01-25,put,1315.0,E,0.55,,0.9,,0.725,6.0,531.0,-0.0195,0.0005,-30.1808,16.7135,0.2117,0
2013-01-03,near_grid,1459.369995,SPXW130125C01345000,2013-01-25,call,1345.0,E,112.8,,115.2,,114.0,0.0,0.0,0.9979,0.0002,-6.4075,2.3111,0.1186,0
2013-01-03,near_grid,1459.369995,SPXW130125P01345000,2013-01-25,put,1345.0,E,0.9,,1.3,,1.1,0.0,132.0,-0.0389,0.0011,-49.2402,29.714,0.1944,0
2013-01-03,near_grid,1459.369995,SPXW130125C01370000,2013-01-25,call,1370.0,E,88.5,,90.9,,89.7,0.0,25.0,0.9869,0.0008,-16.1181,11.8558,0.1186,0
2013-01-03,near_grid,1459.369995,SPXW130125P01370000,2013-01-25,put,1370.0,E,1.55,,1.9,,1.725,50.0,65.0,-0.0634,0.002,-65.083,43.89,0.1741,0
2013-01-03,near_grid,1459.369995,SPXW130125C01400000,2013-01-25,call,1400.0,E,60.5,,62.7,,61.6,26.0,163.0,0.913,0.0035,-65.2355,55.8868,0.1283,0
2013-01-03,near_grid,1459.369995,SPXW130125P01400000,2013-01-25,put,1400.0,E,3.3,,3.7,,3.5,70.0,709.0,-0.1272,0.0038,-96.2287,73.5257,0.1539,0
2013-01-03,near_grid,1459.369995,SPXW130125C01430000,2013-01-25,call,1430.0,E,35.2,,36.9,,36.05,62.0,336.0,0.7567,0.0071,-121.0057,110.4881,0.1246,0
2013-01-03,near_grid,1459.369995,SPXW130125P01430000,2013-01-25,put,1430.0,E,7.6,,8.4,,8.0,185.0,53.0,-0.2646,0.0067,-135.6251,115.4758,0.1385,0
2013-01-03,near_grid,1459.369995,SPXW130125C01460000,2013-01-25,call,1460.0,E,15.1,,16.3,,15.7,34.0,1563.0,0.5017,0.01,-137.9908,140.7519,0.1128,0
2013-01-03,near_grid,1459.369995,SPXW130125P01460000,2013-01-25,put,1460.0,E,17.2,,18.5,,17.85,50.0,71.0,-0.4973,0.009,-148.8595,140.75,0.1255,0
2013-01-03,near_grid,1459.369995,SPXW130125C01490000,2013-01-25,call,1490.0,E,4.0,,4.6,,4.3,115.0,185.0,0.2102,0.0079,-91.5194,101.7397,0.1041,0
2013-01-03,near_grid,1459.369995,SPXW130125P01490000,2013-01-25,put,1490.0,E,35.5,,37.4,,36.45,0.0,10.0,-0.7555,0.0074,-110.8644,110.8012,0.1206,0
2013-01-03,near_grid,1459.369995,SPXW130125C01520000,2013-01-25,call,1520.0,E,0.8,,1.1,,0.95,826.0,139.0,0.0594,0.0031,-38.2924,41.7058,0.1066,0
2013-01-03,near_grid,1459.369995,SPXW130125P01520000,2013-01-25,put,1520.0,E,61.9,,64.1,,63.0,0.0,0.0,-0.8887,0.004,-73.4671,66.8826,0.1356,0
2013-01-03,near_grid,1459.369995,SPXW130125C01550000,2013-01-25,call,1550.0,E,0.2,,0.5,,0.35,45.0,62.0,0.0212,0.0011,-18.7936,17.9771,0.1216,0
2013-01-03,near_grid,1459.369995,SPXW130125P01550000,2013-01-25,put,1550.0,E,91.1,,93.3,,92.2,0.0,35.0,-0.9334,0.0022,-59.2513,45.5659,0.1633,0
2013-01-03,near_grid,1459.369995,SPXW130125C01575000,2013-01-25,call,1575.0,E,0.1,,0.3,,0.2,0.0,5.0,0.0112,0.0005,-12.2475,10.4159,0.1369,0
