quote_date,selection_group,underlying_close,contract,expiration,option_type,strike,style,bid,bid_size,ask,ask_size,mid,volume,open_interest,delta,gamma,theta,vega,implied_volatility,quote_missing
2013-03-01,underlying,1518.199951,,,,,,,,,,,,,,,,,,0
2013-03-01,far_target,1518.199951,SPX130420C01550000,2013-04-20,call,1550,E,11.1,,12.3,,11.7,506,41614,0.3101,0.0059,-79.5384,196.936,0.1074,0
2013-03-01,far_target,1518.199951,SPX130420P01550000,2013-04-20,put,1550,E,45.1,,47.7,,46.4,230,5468,-0.663,0.0052,-91.1326,203.8243,0.1248,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01175000,2013-03-28,call,1175,E,0,,0,,0,0,0,1,0,-3.3117,0,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01175000,2013-03-28,put,1175,E,0.05,,0.45,,0.25,20,1549,-0.0002,0,-0.517,0.2766,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01200000,2013-03-28,call,1200,E,0,,0,,0,0,0,1,0,-3.3821,0,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01200000,2013-03-28,put,1200,E,0.05,,0.65,,0.35,2000,222,-0.0005,0,-1.3971,0.7476,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01210000,2013-03-28,call,1210,E,0,,0,,0,0,0,1,0,-3.4103,0,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01210000,2013-03-28,put,1210,E,0.05,,0.45,,0.25,0,0,-0.0008,0,-2.0201,1.081,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01220000,2013-03-28,call,1220,E,0,,0,,0,0,0,1,0,-3.4385,0,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01220000,2013-03-28,put,1220,E,0.05,,0.8,,0.425,0,3,-0.0011,0,-2.8745,1.5383,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01240000,2013-03-28,call,1240,E,0,,0,,0,0,0,1,0,-3.4952,0.0002,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01240000,2013-03-28,put,1240,E,0.15,,0.6,,0.375,0,0,-0.0023,0.0001,-5.5567,2.9739,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01260000,2013-03-28,call,1260,E,0,,0,,0,0,0,1,0,-3.5537,0.0023,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01260000,2013-03-28,put,1260,E,0.3,,1,,0.65,0,72,-0.0045,0.0001,-10.1197,5.4168,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01280000,2013-03-28,call,1280,E,235.8,,237.5,,236.65,0,0,1,0,-3.6223,0.0144,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01280000,2013-03-28,put,1280,E,0.45,,1.15,,0.8,0,17,-0.0084,0.0002,-17.4097,9.3202,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01300000,2013-03-28,call,1300,E,215.9,,217.7,,216.8,0,0,1,0,-3.7374,0.0718,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01300000,2013-03-28,put,1300,E,0.6,,1.05,,0.825,350,4886,-0.0147,0.0002,-28.3636,15.1869,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01315000,2013-03-28,call,1315,E,200.8,,202.8,,201.8,0,0,0.9999,0,-3.9253,0.2143,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01315000,2013-03-28,put,1315,E,0.8,,1.45,,1.125,0,100,-0.0217,0.0005,-39.5216,21.1641,0.2701,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01335000,2013-03-28,call,1335,E,181,,183.1,,182.05,0,0,0.9994,0,-4.5758,0.7957,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01335000,2013-03-28,put,1335,E,1.05,,1.7,,1.375,0,148,-0.0315,0.0007,-52.5809,28.9241,0.263,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01355000,2013-03-28,call,1355,E,161.6,,163.5,,162.55,0,0,0.9981,0.0001,-6.3888,2.5154,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01355000,2013-03-28,put,1355,E,1.4,,2.05,,1.725,0,10,-0.0407,0.0009,-61.0682,35.6206,0.2481,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01375000,2013-03-28,call,1375,E,142.1,,144,,143.05,0,236,0.9941,0.0002,-10.8377,6.8175,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01375000,2013-03-28,put,1375,E,1.9,,2.55,,2.225,0,4830,-0.0536,0.0011,-71.8432,44.4462,0.234,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01395000,2013-03-28,call,1395,E,122.8,,124.7,,123.75,0,13,0.9844,0.0005,-20.2061,15.9433,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01395000,2013-03-28,put,1395,E,2.5,,3.3,,2.9,25,1112,-0.0711,0.0015,-84.0103,55.4058,0.2196,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01415000,2013-03-28,call,1415,E,103.7,,105.6,,104.65,0,0,0.9638,0.0013,-37.0082,32.3681,0.1479,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01415000,2013-03-28,put,1415,E,3.4,,4.2,,3.8,0,131,-0.0948,0.002,-97.2413,68.8386,0.2047,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01435000,2013-03-28,call,1435,E,85,,86.9,,85.95,0,13,0.9179,0.0023,-69.5678,61.8492,0.1537,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01435000,2013-03-28,put,1435,E,4.8,,5.6,,5.2,0,2177,-0.13,0.0027,-113.7825,86.2536,0.1913,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01455000,2013-03-28,call,1455,E,67,,68.8,,67.9,0,0,0.861,0.0036,-97.0254,90.3343,0.1494,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01455000,2013-03-28,put,1455,E,6.7,,7.6,,7.15,0,3026,-0.1785,0.0036,-130.0284,106.4594,0.1773,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01475000,2013-03-28,call,1475,E,49.9,,51.6,,50.75,200,3068,0.7838,0.0051,-120.2834,119.5513,0.1413,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01475000,2013-03-28,put,1475,E,9.6,,10.4,,10,653,8294,-0.2469,0.0047,-144.6854,128.7238,0.1634,0
2013-03-01,near_grid,1518.199951,SPXQ130328C01490000,2013-03-28,call,1490,E,38,,39.6,,38.8,0,478,0.7067,0.0063,-133.4234,140.3228,0.1342,0
2013-03-01,near_grid,1518.199951,SPXQ130328P01490000,2013-03-28,put,1490,E,12.5,,13.5,,13,20,1069,-0.3151,0.0057,-152.3404,144.8817,0.1531,0
